question,intent,response,source_url
Do I need to give an entrance test?,entrance_exam,"Kalinga University requires entrance examinations for admissions: BBA and MBA applicants take KAL-MAT, while applicants for other UG/PG programs take KALSEE (Kalinga Scholastic Entrance Examination). Ph.D. programs have a separate entrance test.",https://kalingauniversity.ac.in/kalsee
Which entrance test does Kalinga University accept?,entrance_exam,"Kalinga University requires entrance examinations for admissions: BBA and MBA applicants take KAL-MAT, while applicants for other UG/PG programs take KALSEE (Kalinga Scholastic Entrance Examination). Ph.D. programs have a separate entrance test.",https://kalingauniversity.ac.in/kalsee
Entrance exam details,entrance_exam,"Kalinga University requires entrance examinations for admissions: BBA and MBA applicants take KAL-MAT, while applicants for other UG/PG programs take KALSEE (Kalinga Scholastic Entrance Examination). Ph.D. programs have a separate entrance test.",https://kalingauniversity.ac.in/kalsee
Is there an entrance exam for admission?,entrance_exam,"Kalinga University requires entrance examinations for admissions: BBA and MBA applicants take KAL-MAT, while applicants for other UG/PG programs take KALSEE (Kalinga Scholastic Entrance Examination). Ph.D. programs have a separate entrance test.",https://kalingauniversity.ac.in/kalsee
Is entrance test mandatory?,entrance_exam,"Kalinga University requires entrance examinations for admissions: BBA and MBA applicants take KAL-MAT, while applicants for other UG/PG programs take KALSEE (Kalinga Scholastic Entrance Examination). Ph.D. programs have a separate entrance test.",https://kalingauniversity.ac.in/kalsee
What is KALSEE?,kalsee,"KALSEE (Kalinga Scholastic Entrance Examination) is a computer-based multiple-choice test for UG and PG programs (except BBA/MBA). Details:
• Duration: 90 minutes (120 min for Ph.D.)
• Questions: 90 MCQs (100 for Ph.D.)
• Negative Marking: None
• Qualifying score: Minimum 50%
• Exam Fee: ₹1,400 for UG/PG (India/SAARC candidates)",https://kalingauniversity.ac.in/kalsee
Tell me about KALSEE exam,kalsee,"KALSEE (Kalinga Scholastic Entrance Examination) is a computer-based multiple-choice test for UG and PG programs (except BBA/MBA). Details:
• Duration: 90 minutes (120 min for Ph.D.)
• Questions: 90 MCQs (100 for Ph.D.)
• Negative Marking: None
• Qualifying score: Minimum 50%
• Exam Fee: ₹1,400 for UG/PG (India/SAARC candidates)",https://kalingauniversity.ac.in/kalsee
Tell me about KALSEE,kalsee,"KALSEE (Kalinga Scholastic Entrance Examination) is a computer-based multiple-choice test for UG and PG programs (except BBA/MBA). Details:
• Duration: 90 minutes (120 min for Ph.D.)
• Questions: 90 MCQs (100 for Ph.D.)
• Negative Marking: None
• Qualifying score: Minimum 50%
• Exam Fee: ₹1,400 for UG/PG (India/SAARC candidates)",https://kalingauniversity.ac.in/kalsee
What is the pattern of KALSEE?,kalsee,"KALSEE (Kalinga Scholastic Entrance Examination) is a computer-based multiple-choice test for UG and PG programs (except BBA/MBA). Details:
• Duration: 90 minutes (120 min for Ph.D.)
• Questions: 90 MCQs (100 for Ph.D.)
• Negative Marking: None
• Qualifying score: Minimum 50%
• Exam Fee: ₹1,400 for UG/PG (India/SAARC candidates)",https://kalingauniversity.ac.in/kalsee
How many questions in KALSEE?,kalsee,"KALSEE (Kalinga Scholastic Entrance Examination) is a computer-based multiple-choice test for UG and PG programs (except BBA/MBA). Details:
• Duration: 90 minutes (120 min for Ph.D.)
• Questions: 90 MCQs (100 for Ph.D.)
• Negative Marking: None
• Qualifying score: Minimum 50%
• Exam Fee: ₹1,400 for UG/PG (India/SAARC candidates)",https://kalingauniversity.ac.in/kalsee
Is there negative marking in KALSEE?,kalsee,"KALSEE (Kalinga Scholastic Entrance Examination) is a computer-based multiple-choice test for UG and PG programs (except BBA/MBA). Details:
• Duration: 90 minutes (120 min for Ph.D.)
• Questions: 90 MCQs (100 for Ph.D.)
• Negative Marking: None
• Qualifying score: Minimum 50%
• Exam Fee: ₹1,400 for UG/PG (India/SAARC candidates)",https://kalingauniversity.ac.in/kalsee
KALSEE duration and format,kalsee,"KALSEE (Kalinga Scholastic Entrance Examination) is a computer-based multiple-choice test for UG and PG programs (except BBA/MBA). Details:
• Duration: 90 minutes (120 min for Ph.D.)
• Questions: 90 MCQs (100 for Ph.D.)
• Negative Marking: None
• Qualifying score: Minimum 50%
• Exam Fee: ₹1,400 for UG/PG (India/SAARC candidates)",https://kalingauniversity.ac.in/kalsee
KALSEE exam fee,kalsee,"KALSEE (Kalinga Scholastic Entrance Examination) is a computer-based multiple-choice test for UG and PG programs (except BBA/MBA). Details:
• Duration: 90 minutes (120 min for Ph.D.)
• Questions: 90 MCQs (100 for Ph.D.)
• Negative Marking: None
• Qualifying score: Minimum 50%
• Exam Fee: ₹1,400 for UG/PG (India/SAARC candidates)",https://kalingauniversity.ac.in/kalsee
Qualifying marks in KALSEE,kalsee,"KALSEE (Kalinga Scholastic Entrance Examination) is a computer-based multiple-choice test for UG and PG programs (except BBA/MBA). Details:
• Duration: 90 minutes (120 min for Ph.D.)
• Questions: 90 MCQs (100 for Ph.D.)
• Negative Marking: None
• Qualifying score: Minimum 50%
• Exam Fee: ₹1,400 for UG/PG (India/SAARC candidates)",https://kalingauniversity.ac.in/kalsee
What is Kalinga Scholastic Entrance Examination?,kalsee,"KALSEE (Kalinga Scholastic Entrance Examination) is a computer-based multiple-choice test for UG and PG programs (except BBA/MBA). Details:
• Duration: 90 minutes (120 min for Ph.D.)
• Questions: 90 MCQs (100 for Ph.D.)
• Negative Marking: None
• Qualifying score: Minimum 50%
• Exam Fee: ₹1,400 for UG/PG (India/SAARC candidates)",https://kalingauniversity.ac.in/kalsee
What is KAL-MAT?,kalmat,KAL-MAT (Kalinga Management Aptitude Test) is the specialized management entrance examination required for admission into BBA and MBA programs at Kalinga University.,https://kalingauniversity.ac.in/admission-procedure
Tell me about KAL MAT,kalmat,KAL-MAT (Kalinga Management Aptitude Test) is the specialized management entrance examination required for admission into BBA and MBA programs at Kalinga University.,https://kalingauniversity.ac.in/admission-procedure
Is KAL-MAT required for BBA?,kalmat,KAL-MAT (Kalinga Management Aptitude Test) is the specialized management entrance examination required for admission into BBA and MBA programs at Kalinga University.,https://kalingauniversity.ac.in/admission-procedure
Entrance exam for MBA,kalmat,KAL-MAT (Kalinga Management Aptitude Test) is the specialized management entrance examination required for admission into BBA and MBA programs at Kalinga University.,https://kalingauniversity.ac.in/admission-procedure
Management entrance test in Kalinga,kalmat,KAL-MAT (Kalinga Management Aptitude Test) is the specialized management entrance examination required for admission into BBA and MBA programs at Kalinga University.,https://kalingauniversity.ac.in/admission-procedure
KALMAT test details,kalmat,KAL-MAT (Kalinga Management Aptitude Test) is the specialized management entrance examination required for admission into BBA and MBA programs at Kalinga University.,https://kalingauniversity.ac.in/admission-procedure
What is the last date to apply?,admission_deadline,"Admission dates and deadlines vary by program and phase. The website notes fee payment within 10 days of receiving the offer letter. For exact current intake deadlines, please verify directly on Kalinga University's official admission portal.",https://kalingauniversity.ac.in/admission-procedure
Admission deadline 2026,admission_deadline,"Admission dates and deadlines vary by program and phase. The website notes fee payment within 10 days of receiving the offer letter. For exact current intake deadlines, please verify directly on Kalinga University's official admission portal.",https://kalingauniversity.ac.in/admission-procedure
When does admission close?,admission_deadline,"Admission dates and deadlines vary by program and phase. The website notes fee payment within 10 days of receiving the offer letter. For exact current intake deadlines, please verify directly on Kalinga University's official admission portal.",https://kalingauniversity.ac.in/admission-procedure
Is there a deadline for fee payment?,admission_deadline,"Admission dates and deadlines vary by program and phase. The website notes fee payment within 10 days of receiving the offer letter. For exact current intake deadlines, please verify directly on Kalinga University's official admission portal.",https://kalingauniversity.ac.in/admission-procedure
When is the last date for phase admission?,admission_deadline,"Admission dates and deadlines vary by program and phase. The website notes fee payment within 10 days of receiving the offer letter. For exact current intake deadlines, please verify directly on Kalinga University's official admission portal.",https://kalingauniversity.ac.in/admission-procedure
What courses does Kalinga University offer?,courses,"Kalinga University offers 130+ programs across multiple faculties including Arts & Humanities, Commerce & Management, Education, Hotel Management, Information Technology, Law, Pharmacy, Science, Technology/Engineering, and Ph.D. studies. The knowledge base contains selected programs from available sources; please check the official departments page for the full inventory.",https://kalingauniversity.ac.in/departments
List of available courses,courses,"Kalinga University offers 130+ programs across multiple faculties including Arts & Humanities, Commerce & Management, Education, Hotel Management, Information Technology, Law, Pharmacy, Science, Technology/Engineering, and Ph.D. studies. The knowledge base contains selected programs from available sources; please check the official departments page for the full inventory.",https://kalingauniversity.ac.in/departments
What programs are offered?,courses,"Kalinga University offers 130+ programs across multiple faculties including Arts & Humanities, Commerce & Management, Education, Hotel Management, Information Technology, Law, Pharmacy, Science, Technology/Engineering, and Ph.D. studies. The knowledge base contains selected programs from available sources; please check the official departments page for the full inventory.",https://kalingauniversity.ac.in/departments
Tell me about all departments,courses,"Kalinga University offers 130+ programs across multiple faculties including Arts & Humanities, Commerce & Management, Education, Hotel Management, Information Technology, Law, Pharmacy, Science, Technology/Engineering, and Ph.D. studies. The knowledge base contains selected programs from available sources; please check the official departments page for the full inventory.",https://kalingauniversity.ac.in/departments
Which courses can I study?,courses,"Kalinga University offers 130+ programs across multiple faculties including Arts & Humanities, Commerce & Management, Education, Hotel Management, Information Technology, Law, Pharmacy, Science, Technology/Engineering, and Ph.D. studies. The knowledge base contains selected programs from available sources; please check the official departments page for the full inventory.",https://kalingauniversity.ac.in/departments
Available degrees at Kalinga University,courses,"Kalinga University offers 130+ programs across multiple faculties including Arts & Humanities, Commerce & Management, Education, Hotel Management, Information Technology, Law, Pharmacy, Science, Technology/Engineering, and Ph.D. studies. The knowledge base contains selected programs from available sources; please check the official departments page for the full inventory.",https://kalingauniversity.ac.in/departments
Course catalog,courses,"Kalinga University offers 130+ programs across multiple faculties including Arts & Humanities, Commerce & Management, Education, Hotel Management, Information Technology, Law, Pharmacy, Science, Technology/Engineering, and Ph.D. studies. The knowledge base contains selected programs from available sources; please check the official departments page for the full inventory.",https://kalingauniversity.ac.in/departments
What academic fields are available?,courses,"Kalinga University offers 130+ programs across multiple faculties including Arts & Humanities, Commerce & Management, Education, Hotel Management, Information Technology, Law, Pharmacy, Science, Technology/Engineering, and Ph.D. studies. The knowledge base contains selected programs from available sources; please check the official departments page for the full inventory.",https://kalingauniversity.ac.in/departments
What courses are available?,courses,"Kalinga University offers 130+ programs across multiple faculties including Arts & Humanities, Commerce & Management, Education, Hotel Management, Information Technology, Law, Pharmacy, Science, Technology/Engineering, and Ph.D. studies. The knowledge base contains selected programs from available sources; please check the official departments page for the full inventory.",https://kalingauniversity.ac.in/departments
What UG courses are available?,undergraduate_courses,"Selected UG courses include BA (Liberal Arts, PSC Coaching, Journalism), BBA, B.Com, B.Ed, B.Sc Hotel Management, BCA (including AI & ML, Game Dev), LLB, BBA+LLB, B.Pharm, B.Sc (Biotech, Forensic, Microbiology), and B.Tech (CSE, AI & ML, Civil, Electrical, Mechanical).",https://kalingauniversity.ac.in/departments
Undergraduate programs at Kalinga,undergraduate_courses,"Selected UG courses include BA (Liberal Arts, PSC Coaching, Journalism), BBA, B.Com, B.Ed, B.Sc Hotel Management, BCA (including AI & ML, Game Dev), LLB, BBA+LLB, B.Pharm, B.Sc (Biotech, Forensic, Microbiology), and B.Tech (CSE, AI & ML, Civil, Electrical, Mechanical).",https://kalingauniversity.ac.in/departments
Bachelor degree options,undergraduate_courses,"Selected UG courses include BA (Liberal Arts, PSC Coaching, Journalism), BBA, B.Com, B.Ed, B.Sc Hotel Management, BCA (including AI & ML, Game Dev), LLB, BBA+LLB, B.Pharm, B.Sc (Biotech, Forensic, Microbiology), and B.Tech (CSE, AI & ML, Civil, Electrical, Mechanical).",https://kalingauniversity.ac.in/departments
List of UG degrees,undergraduate_courses,"Selected UG courses include BA (Liberal Arts, PSC Coaching, Journalism), BBA, B.Com, B.Ed, B.Sc Hotel Management, BCA (including AI & ML, Game Dev), LLB, BBA+LLB, B.Pharm, B.Sc (Biotech, Forensic, Microbiology), and B.Tech (CSE, AI & ML, Civil, Electrical, Mechanical).",https://kalingauniversity.ac.in/departments
What can I study after 12th?,undergraduate_courses,"Selected UG courses include BA (Liberal Arts, PSC Coaching, Journalism), BBA, B.Com, B.Ed, B.Sc Hotel Management, BCA (including AI & ML, Game Dev), LLB, BBA+LLB, B.Pharm, B.Sc (Biotech, Forensic, Microbiology), and B.Tech (CSE, AI & ML, Civil, Electrical, Mechanical).",https://kalingauniversity.ac.in/departments
What PG courses are available?,postgraduate_courses,"Selected PG courses include MA (Journalism, Film Making), MSW, MBA, M.Com, M.Ed, MCA, LLM, M.Pharm, M.Sc (Biochemistry, Biotechnology, Microbiology, Forensic Science), and M.Tech.",https://kalingauniversity.ac.in/departments
Postgraduate programs,postgraduate_courses,"Selected PG courses include MA (Journalism, Film Making), MSW, MBA, M.Com, M.Ed, MCA, LLM, M.Pharm, M.Sc (Biochemistry, Biotechnology, Microbiology, Forensic Science), and M.Tech.",https://kalingauniversity.ac.in/departments
Master degree options,postgraduate_courses,"Selected PG courses include MA (Journalism, Film Making), MSW, MBA, M.Com, M.Ed, MCA, LLM, M.Pharm, M.Sc (Biochemistry, Biotechnology, Microbiology, Forensic Science), and M.Tech.",https://kalingauniversity.ac.in/departments
List of PG degrees,postgraduate_courses,"Selected PG courses include MA (Journalism, Film Making), MSW, MBA, M.Com, M.Ed, MCA, LLM, M.Pharm, M.Sc (Biochemistry, Biotechnology, Microbiology, Forensic Science), and M.Tech.",https://kalingauniversity.ac.in/departments
What courses after graduation?,postgraduate_courses,"Selected PG courses include MA (Journalism, Film Making), MSW, MBA, M.Com, M.Ed, MCA, LLM, M.Pharm, M.Sc (Biochemistry, Biotechnology, Microbiology, Forensic Science), and M.Tech.",https://kalingauniversity.ac.in/departments
Does Kalinga offer Ph.D.?,phd_programs,"Yes, Kalinga University offers Ph.D. doctoral programs across Management, Computer Science, Law, Pharmacy, Science, and Humanities. Candidates take a 120-minute, 100-question Ph.D. entrance test.",https://kalingauniversity.ac.in/kalsee
Doctoral programs,phd_programs,"Yes, Kalinga University offers Ph.D. doctoral programs across Management, Computer Science, Law, Pharmacy, Science, and Humanities. Candidates take a 120-minute, 100-question Ph.D. entrance test.",https://kalingauniversity.ac.in/kalsee
Ph.D. admission,phd_programs,"Yes, Kalinga University offers Ph.D. doctoral programs across Management, Computer Science, Law, Pharmacy, Science, and Humanities. Candidates take a 120-minute, 100-question Ph.D. entrance test.",https://kalingauniversity.ac.in/kalsee
Research degrees at Kalinga,phd_programs,"Yes, Kalinga University offers Ph.D. doctoral programs across Management, Computer Science, Law, Pharmacy, Science, and Humanities. Candidates take a 120-minute, 100-question Ph.D. entrance test.",https://kalingauniversity.ac.in/kalsee
Ph.D. entrance exam details,phd_programs,"Yes, Kalinga University offers Ph.D. doctoral programs across Management, Computer Science, Law, Pharmacy, Science, and Humanities. Candidates take a 120-minute, 100-question Ph.D. entrance test.",https://kalingauniversity.ac.in/kalsee
Does Kalinga offer B.Tech?,btech_courses,"Yes, Kalinga University offers B.Tech programs in Computer Science Engineering (CSE), CSE with AI & Machine Learning, Civil Engineering, Electrical Engineering, and Mechanical Engineering.",https://kalingauniversity.ac.in/departments
Engineering courses,btech_courses,"Yes, Kalinga University offers B.Tech programs in Computer Science Engineering (CSE), CSE with AI & Machine Learning, Civil Engineering, Electrical Engineering, and Mechanical Engineering.",https://kalingauniversity.ac.in/departments
B.Tech specialization,btech_courses,"Yes, Kalinga University offers B.Tech programs in Computer Science Engineering (CSE), CSE with AI & Machine Learning, Civil Engineering, Electrical Engineering, and Mechanical Engineering.",https://kalingauniversity.ac.in/departments
B.Tech Computer Science CSE,btech_courses,"Yes, Kalinga University offers B.Tech programs in Computer Science Engineering (CSE), CSE with AI & Machine Learning, Civil Engineering, Electrical Engineering, and Mechanical Engineering.",https://kalingauniversity.ac.in/departments
B.Tech in AI & ML,btech_courses,"Yes, Kalinga University offers B.Tech programs in Computer Science Engineering (CSE), CSE with AI & Machine Learning, Civil Engineering, Electrical Engineering, and Mechanical Engineering.",https://kalingauniversity.ac.in/departments
Civil Electrical Mechanical engineering,btech_courses,"Yes, Kalinga University offers B.Tech programs in Computer Science Engineering (CSE), CSE with AI & Machine Learning, Civil Engineering, Electrical Engineering, and Mechanical Engineering.",https://kalingauniversity.ac.in/departments
What engineering programs are available?,btech_courses,"Yes, Kalinga University offers B.Tech programs in Computer Science Engineering (CSE), CSE with AI & Machine Learning, Civil Engineering, Electrical Engineering, and Mechanical Engineering.",https://kalingauniversity.ac.in/departments
Does Kalinga offer BBA?,bba_courses,"Yes, Kalinga University offers a BBA (Bachelor of Business Administration) program under the Faculty of Commerce & Management. Applicants are required to take the KAL-MAT entrance examination.",https://kalingauniversity.ac.in/departments
Tell me about BBA program,bba_courses,"Yes, Kalinga University offers a BBA (Bachelor of Business Administration) program under the Faculty of Commerce & Management. Applicants are required to take the KAL-MAT entrance examination.",https://kalingauniversity.ac.in/departments
BBA course details,bba_courses,"Yes, Kalinga University offers a BBA (Bachelor of Business Administration) program under the Faculty of Commerce & Management. Applicants are required to take the KAL-MAT entrance examination.",https://kalingauniversity.ac.in/departments
Is BBA available?,bba_courses,"Yes, Kalinga University offers a BBA (Bachelor of Business Administration) program under the Faculty of Commerce & Management. Applicants are required to take the KAL-MAT entrance examination.",https://kalingauniversity.ac.in/departments
Bachelor of Business Administration,bba_courses,"Yes, Kalinga University offers a BBA (Bachelor of Business Administration) program under the Faculty of Commerce & Management. Applicants are required to take the KAL-MAT entrance examination.",https://kalingauniversity.ac.in/departments
Does Kalinga University offer BBA?,bba_courses,"Yes, Kalinga University offers a BBA (Bachelor of Business Administration) program under the Faculty of Commerce & Management. Applicants are required to take the KAL-MAT entrance examination.",https://kalingauniversity.ac.in/departments
Does Kalinga offer MBA?,mba_courses,"Yes, Kalinga University offers MBA programs under the Faculty of Commerce & Management. Admission requires taking the KAL-MAT entrance exam.",https://kalingauniversity.ac.in/departments
Master of Business Administration,mba_courses,"Yes, Kalinga University offers MBA programs under the Faculty of Commerce & Management. Admission requires taking the KAL-MAT entrance exam.",https://kalingauniversity.ac.in/departments
MBA course details,mba_courses,"Yes, Kalinga University offers MBA programs under the Faculty of Commerce & Management. Admission requires taking the KAL-MAT entrance exam.",https://kalingauniversity.ac.in/departments
MBA specializations,mba_courses,"Yes, Kalinga University offers MBA programs under the Faculty of Commerce & Management. Admission requires taking the KAL-MAT entrance exam.",https://kalingauniversity.ac.in/departments
Is MBA available?,mba_courses,"Yes, Kalinga University offers MBA programs under the Faculty of Commerce & Management. Admission requires taking the KAL-MAT entrance exam.",https://kalingauniversity.ac.in/departments
What is the fee structure?,fees,"Kalinga University's live official fee structure for 2026-27 lists tuition, prospectus/KALSEE fee (₹1,400), caution money (₹3,000), uniform fees where applicable, and semester exam fees (₹1,500). Visible Arts & Humanities totals range from ₹80,400 (MA/MSW) up to ₹3,18,350 (BA Liberal Arts with PSC Coaching).",https://kalingauniversity.ac.in/ku-fees
Tell me about university fees,fees,"Kalinga University's live official fee structure for 2026-27 lists tuition, prospectus/KALSEE fee (₹1,400), caution money (₹3,000), uniform fees where applicable, and semester exam fees (₹1,500). Visible Arts & Humanities totals range from ₹80,400 (MA/MSW) up to ₹3,18,350 (BA Liberal Arts with PSC Coaching).",https://kalingauniversity.ac.in/ku-fees
Fee structure 2026-27,fees,"Kalinga University's live official fee structure for 2026-27 lists tuition, prospectus/KALSEE fee (₹1,400), caution money (₹3,000), uniform fees where applicable, and semester exam fees (₹1,500). Visible Arts & Humanities totals range from ₹80,400 (MA/MSW) up to ₹3,18,350 (BA Liberal Arts with PSC Coaching).",https://kalingauniversity.ac.in/ku-fees
How expensive is Kalinga University?,fees,"Kalinga University's live official fee structure for 2026-27 lists tuition, prospectus/KALSEE fee (₹1,400), caution money (₹3,000), uniform fees where applicable, and semester exam fees (₹1,500). Visible Arts & Humanities totals range from ₹80,400 (MA/MSW) up to ₹3,18,350 (BA Liberal Arts with PSC Coaching).",https://kalingauniversity.ac.in/ku-fees
Give me fee details,fees,"Kalinga University's live official fee structure for 2026-27 lists tuition, prospectus/KALSEE fee (₹1,400), caution money (₹3,000), uniform fees where applicable, and semester exam fees (₹1,500). Visible Arts & Humanities totals range from ₹80,400 (MA/MSW) up to ₹3,18,350 (BA Liberal Arts with PSC Coaching).",https://kalingauniversity.ac.in/ku-fees
Where can I see the fees?,fees,"Kalinga University's live official fee structure for 2026-27 lists tuition, prospectus/KALSEE fee (₹1,400), caution money (₹3,000), uniform fees where applicable, and semester exam fees (₹1,500). Visible Arts & Humanities totals range from ₹80,400 (MA/MSW) up to ₹3,18,350 (BA Liberal Arts with PSC Coaching).",https://kalingauniversity.ac.in/ku-fees
What are the fees?,fees,"Kalinga University's live official fee structure for 2026-27 lists tuition, prospectus/KALSEE fee (₹1,400), caution money (₹3,000), uniform fees where applicable, and semester exam fees (₹1,500). Visible Arts & Humanities totals range from ₹80,400 (MA/MSW) up to ₹3,18,350 (BA Liberal Arts with PSC Coaching).",https://kalingauniversity.ac.in/ku-fees
What is the fee for BBA?,course_fee,"Based on the official 2026-27 fee structure published for Arts & Humanities:
• BA Liberal Arts with PSC: ₹50,000/sem (Total ₹3,18,350)
• MA / MSW: ₹17,500/sem (Total ₹80,400)
• BA PSC Coaching: ₹25,000/sem (Total ₹1,68,350)
• MA Film Making: ₹40,000/sem (Total ₹1,70,400)
Note: For programs in other faculties (BBA, B.Tech, MBA), the live site loads tabs dynamically; please verify on the official fee page.",https://kalingauniversity.ac.in/ku-fees
What is BBA fee?,course_fee,"Based on the official 2026-27 fee structure published for Arts & Humanities:
• BA Liberal Arts with PSC: ₹50,000/sem (Total ₹3,18,350)
• MA / MSW: ₹17,500/sem (Total ₹80,400)
• BA PSC Coaching: ₹25,000/sem (Total ₹1,68,350)
• MA Film Making: ₹40,000/sem (Total ₹1,70,400)
Note: For programs in other faculties (BBA, B.Tech, MBA), the live site loads tabs dynamically; please verify on the official fee page.",https://kalingauniversity.ac.in/ku-fees
BBA fees?,course_fee,"Based on the official 2026-27 fee structure published for Arts & Humanities:
• BA Liberal Arts with PSC: ₹50,000/sem (Total ₹3,18,350)
• MA / MSW: ₹17,500/sem (Total ₹80,400)
• BA PSC Coaching: ₹25,000/sem (Total ₹1,68,350)
• MA Film Making: ₹40,000/sem (Total ₹1,70,400)
Note: For programs in other faculties (BBA, B.Tech, MBA), the live site loads tabs dynamically; please verify on the official fee page.",https://kalingauniversity.ac.in/ku-fees
BBA fee structure,course_fee,"Based on the official 2026-27 fee structure published for Arts & Humanities:
• BA Liberal Arts with PSC: ₹50,000/sem (Total ₹3,18,350)
• MA / MSW: ₹17,500/sem (Total ₹80,400)
• BA PSC Coaching: ₹25,000/sem (Total ₹1,68,350)
• MA Film Making: ₹40,000/sem (Total ₹1,70,400)
Note: For programs in other faculties (BBA, B.Tech, MBA), the live site loads tabs dynamically; please verify on the official fee page.",https://kalingauniversity.ac.in/ku-fees
How much does BBA cost?,course_fee,"Based on the official 2026-27 fee structure published for Arts & Humanities:
• BA Liberal Arts with PSC: ₹50,000/sem (Total ₹3,18,350)
• MA / MSW: ₹17,500/sem (Total ₹80,400)
• BA PSC Coaching: ₹25,000/sem (Total ₹1,68,350)
• MA Film Making: ₹40,000/sem (Total ₹1,70,400)
Note: For programs in other faculties (BBA, B.Tech, MBA), the live site loads tabs dynamically; please verify on the official fee page.",https://kalingauniversity.ac.in/ku-fees
What is the fee for BA Liberal Arts?,course_fee,"Based on the official 2026-27 fee structure published for Arts & Humanities:
• BA Liberal Arts with PSC: ₹50,000/sem (Total ₹3,18,350)
• MA / MSW: ₹17,500/sem (Total ₹80,400)
• BA PSC Coaching: ₹25,000/sem (Total ₹1,68,350)
• MA Film Making: ₹40,000/sem (Total ₹1,70,400)
Note: For programs in other faculties (BBA, B.Tech, MBA), the live site loads tabs dynamically; please verify on the official fee page.",https://kalingauniversity.ac.in/ku-fees
MA fee,course_fee,"Based on the official 2026-27 fee structure published for Arts & Humanities:
• BA Liberal Arts with PSC: ₹50,000/sem (Total ₹3,18,350)
• MA / MSW: ₹17,500/sem (Total ₹80,400)
• BA PSC Coaching: ₹25,000/sem (Total ₹1,68,350)
• MA Film Making: ₹40,000/sem (Total ₹1,70,400)
Note: For programs in other faculties (BBA, B.Tech, MBA), the live site loads tabs dynamically; please verify on the official fee page.",https://kalingauniversity.ac.in/ku-fees
MSW fee,course_fee,"Based on the official 2026-27 fee structure published for Arts & Humanities:
• BA Liberal Arts with PSC: ₹50,000/sem (Total ₹3,18,350)
• MA / MSW: ₹17,500/sem (Total ₹80,400)
• BA PSC Coaching: ₹25,000/sem (Total ₹1,68,350)
• MA Film Making: ₹40,000/sem (Total ₹1,70,400)
Note: For programs in other faculties (BBA, B.Tech, MBA), the live site loads tabs dynamically; please verify on the official fee page.",https://kalingauniversity.ac.in/ku-fees
BA PSC coaching fee,course_fee,"Based on the official 2026-27 fee structure published for Arts & Humanities:
• BA Liberal Arts with PSC: ₹50,000/sem (Total ₹3,18,350)
• MA / MSW: ₹17,500/sem (Total ₹80,400)
• BA PSC Coaching: ₹25,000/sem (Total ₹1,68,350)
• MA Film Making: ₹40,000/sem (Total ₹1,70,400)
Note: For programs in other faculties (BBA, B.Tech, MBA), the live site loads tabs dynamically; please verify on the official fee page.",https://kalingauniversity.ac.in/ku-fees
What is B.Tech fee?,course_fee,"Based on the official 2026-27 fee structure published for Arts & Humanities:
• BA Liberal Arts with PSC: ₹50,000/sem (Total ₹3,18,350)
• MA / MSW: ₹17,500/sem (Total ₹80,400)
• BA PSC Coaching: ₹25,000/sem (Total ₹1,68,350)
• MA Film Making: ₹40,000/sem (Total ₹1,70,400)
Note: For programs in other faculties (BBA, B.Tech, MBA), the live site loads tabs dynamically; please verify on the official fee page.",https://kalingauniversity.ac.in/ku-fees
What is MBA fee?,course_fee,"Based on the official 2026-27 fee structure published for Arts & Humanities:
• BA Liberal Arts with PSC: ₹50,000/sem (Total ₹3,18,350)
• MA / MSW: ₹17,500/sem (Total ₹80,400)
• BA PSC Coaching: ₹25,000/sem (Total ₹1,68,350)
• MA Film Making: ₹40,000/sem (Total ₹1,70,400)
Note: For programs in other faculties (BBA, B.Tech, MBA), the live site loads tabs dynamically; please verify on the official fee page.",https://kalingauniversity.ac.in/ku-fees
How much for B.Pharm fee?,course_fee,"Based on the official 2026-27 fee structure published for Arts & Humanities:
• BA Liberal Arts with PSC: ₹50,000/sem (Total ₹3,18,350)
• MA / MSW: ₹17,500/sem (Total ₹80,400)
• BA PSC Coaching: ₹25,000/sem (Total ₹1,68,350)
• MA Film Making: ₹40,000/sem (Total ₹1,70,400)
Note: For programs in other faculties (BBA, B.Tech, MBA), the live site loads tabs dynamically; please verify on the official fee page.",https://kalingauniversity.ac.in/ku-fees
What is the hostel fee?,hostel_fee,"Hostel fees, mess charges, transport fees, and value-added program fees are separate from academic tuition. Please check Kalinga University's official hostelling section at https://kalingauniversity.ac.in/ku-fees.",https://kalingauniversity.ac.in/ku-fees
Hostel charges,hostel_fee,"Hostel fees, mess charges, transport fees, and value-added program fees are separate from academic tuition. Please check Kalinga University's official hostelling section at https://kalingauniversity.ac.in/ku-fees.",https://kalingauniversity.ac.in/ku-fees
Mess charges for boys and girls hostel,hostel_fee,"Hostel fees, mess charges, transport fees, and value-added program fees are separate from academic tuition. Please check Kalinga University's official hostelling section at https://kalingauniversity.ac.in/ku-fees.",https://kalingauniversity.ac.in/ku-fees
Is hostel fee separate?,hostel_fee,"Hostel fees, mess charges, transport fees, and value-added program fees are separate from academic tuition. Please check Kalinga University's official hostelling section at https://kalingauniversity.ac.in/ku-fees.",https://kalingauniversity.ac.in/ku-fees
Is there hostel facility?,hostel_fee,"Hostel fees, mess charges, transport fees, and value-added program fees are separate from academic tuition. Please check Kalinga University's official hostelling section at https://kalingauniversity.ac.in/ku-fees.",https://kalingauniversity.ac.in/ku-fees
